saleOut labourSaleOut saleIn fee expend operCos
159733.54,87431.19,117245.79,68812.74,42462.11,6347.46,
144520.82,79104.41,106079.52,62259.15,38418.10,5591.55,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
159733.54,87431.19,117245.79,68812.74,42462.11,6347.46,
144520.82,79104.41,106079.52,62259.15,38418.10,5591.55,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
159733.54,87431.19,117245.79,68812.74,42462.11,6347.46,
144520.82,79104.41,106079.52,62259.15,38418.10,5591.55,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
159733.54,87431.19,117245.79,68812.74,42462.11,6347.46,
144520.82,79104.41,106079.52,62259.15,38418.10,5591.55,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
159733.54,87431.19,117245.79,68812.74,42462.11,6347.46,
144520.82,79104.41,106079.52,62259.15,38418.10,5591.55,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
167339.89,91594.58,122828.92,72089.54,44484.11,6474.42,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
152127.18,83267.80,111662.65,65535.94,40440.10,5885.84,
159733.54,87431.19,117245.79,68812.74,42462.11,6180.13,
